Name,Address,Phone,Website,Rating,Review Count,Email_1,Email_1_Method,Email_1_Source,Email_1_Accuracy_Score,Email_1_Confidence,Email_2,Email_2_Method,Email_2_Source,Email_2_Accuracy_Score,Email_2_Confidence,Email_3,Email_3_Method,Email_3_Source,Email_3_Accuracy_Score,Email_3_Confidence
Richelieu Birmingham,"3912 2nd Ave S, Birmingham, AL 35222, USA",(205) 595-4655,https://www.hghhardware.com/birmingham_branch?utm_source=gmb&utm_medium=organic,4.6,52,richelieu@hghhardware.com,pattern_generation,business_domain,0.7,medium,richelieu@gmail.com,pattern_generation,common_domain,0.4,low,richelieu@yahoo.com,pattern_generation,common_domain,0.4,low
Little Hardware,"2117 Cahaba Rd, Birmingham, AL 35223, USA",(205) 871-4616,http://www.little-hardware.com/,4.6,224,little@little-hardware.com,pattern_generation,business_domain,0.7,medium,little@gmail.com,pattern_generation,common_domain,0.4,low,little@yahoo.com,pattern_generation,common_domain,0.4,low
Five Points Paint & Hardware,"1000 20th St S, Birmingham, AL 35205, USA",(205) 252-1200,N/A,3.1,108,five@gmail.com,pattern_generation,common_domain,0.4,low,five@yahoo.com,pattern_generation,common_domain,0.4,low,info@gmail.com,pattern_generation,common_domain_suffix,0.3,low
"Cahaba Heights Hardware, Inc.","3209 Cahaba Heights Rd, Vestavia Hills, AL 35243, USA",(205) 967-0710,N/A,4.8,139,cahaba@gmail.com,pattern_generation,common_domain,0.4,low,cahaba@yahoo.com,pattern_generation,common_domain,0.4,low,info@gmail.com,pattern_generation,common_domain_suffix,0.3,low
Bluff Park Hardware,"597 Shades Crest Rd, Birmingham, AL 35226, USA",(205) 823-1953,https://www.bluffparkhardware.com/,4.9,166,bluff@bluffparkhardware.com,pattern_generation,business_domain,0.7,medium,bluff@gmail.com,pattern_generation,common_domain,0.4,low,bluff@yahoo.com,pattern_generation,common_domain,0.4,low
Midfield Hardware & Storage,"402 By Williams Sr Dr, Midfield, AL 35228, USA",(205) 923-2555,http://www.acehardware.com/,4.3,239,u003eorders@cpeauto.com,website_scraping,contact_page,0.95,very_high,customerservice@classycaps.com,website_scraping,contact_page,0.95,very_high,customerservice@ladders.com,website_scraping,contact_page,0.95,very_high
Rocky Ridge Hardware,"3348 Morgan Dr, Vestavia Hills, AL 35216, USA",(205) 979-5444,http://www.rockyridgehardware.com/,4.5,84,rocky@rockyridgehardware.com,pattern_generation,business_domain,0.7,medium,rocky@gmail.com,pattern_generation,common_domain,0.4,low,rocky@yahoo.com,pattern_generation,common_domain,0.4,low
Lowe's Home Improvement,"375 State Farm Pkwy, Homewood, AL 35209, USA",(205) 942-2223,https://www.lowes.com/store/AL-Homewood/0580?cm_mmc=lod-_-c-_-lcl-_-awr-_-yxt-_-go-_-580-_-na-_-0-_-0&y_source=1_MTE4MjgxMi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,3.9,1922,lowes@lowes.com,pattern_generation,business_domain,0.7,medium,lowes@gmail.com,pattern_generation,common_domain,0.4,low,lowes@yahoo.com,pattern_generation,common_domain,0.4,low
Argo Hardware,"335 US-11, Trussville, AL 35173, USA",(205) 452-2139,http://www.argohardware.com/,4.6,213,argo@argohardware.com,pattern_generation,business_domain,0.7,medium,argo@gmail.com,pattern_generation,common_domain,0.4,low,argo@yahoo.com,pattern_generation,common_domain,0.4,low
Old Southern Feed and Hardware,"5334 Birmingport Rd, Sylvan Springs, AL 35118, USA",(205) 491-3042,https://www.facebook.com/pages/Julian-Hardware-Co/146354322060391,4.7,249,old@facebook.com,pattern_generation,business_domain,0.7,medium,old@gmail.com,pattern_generation,common_domain,0.4,low,old@yahoo.com,pattern_generation,common_domain,0.4,low
Ace of The South,"255 City St, Gardendale, AL 35071, USA",(205) 386-3596,http://www.acehardware.com/store-details/17475?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=17475,4.7,276,ace@acehardware.com,pattern_generation,business_domain,0.7,medium,ace@gmail.com,pattern_generation,common_domain,0.4,low,ace@yahoo.com,pattern_generation,common_domain,0.4,low
ORear Hardware LLC,"1840 Pinson St, Birmingham, AL 35217, USA",(205) 841-4646,N/A,4.7,147,orear@gmail.com,pattern_generation,common_domain,0.4,low,orear@yahoo.com,pattern_generation,common_domain,0.4,low,info@gmail.com,pattern_generation,common_domain_suffix,0.3,low
Dixie Hardware,"24 W Park Ave, Montgomery, AL 36110, USA",(334) 263-0825,N/A,4.6,139,dixie@gmail.com,pattern_generation,common_domain,0.4,low,dixie@yahoo.com,pattern_generation,common_domain,0.4,low,info@gmail.com,pattern_generation,common_domain_suffix,0.3,low
Brass Hardware Inc,"217 N Burbank Dr, Montgomery, AL 36117, USA",(334) 260-0001,http://www.brasshardwarealabama.com/,4,1,randy@brasshardwarealabama.com,website_scraping,main_page,0.9,high,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Home Outlet,"4055 Eastern Blvd, Montgomery, AL 36116, USA",(334) 288-7535,http://www.homeoutlet.com/store/home-outlet-montgomery-al,4.4,125,user@example.com,website_scraping,contact_page,0.95,very_high,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Autauga Home Supply,"425 E Main St, Prattville, AL 36067, USA",(334) 365-5903,N/A,4.5,82,autauga@gmail.com,pattern_generation,common_domain,0.4,low,autauga@yahoo.com,pattern_generation,common_domain,0.4,low,info@gmail.com,pattern_generation,common_domain_suffix,0.3,low
